year,month,product,PX,Xtablets,Xddd,Ptablets,Pddd,form,substance,brand,Xpackages,productname,productcode,atc,dosage,packsize,firm,newdata,Xnormal,Pnormal,marketing,sickwomen,sickmen,medinctot,medincwomen,medincmen,child,GDPreal,GDPnom,cpi,popwomen,popmen,date,f2s3,PX1,Xtablets1,time,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10,year11,year12,year13,year14,year15,year16,year17,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12,marketing1,sw,sm,Pmean,Pdemeaned,Xdemeaned,P,X,BL,Ptablets1,totQ,BL1,num,numg,numf,numfg,numhg,numfgh,sump,sumd,sumgp,sumgd,sumfp,sumfd,sumfgp,sumfgd,sumhgp,sumhgd,sumfhgp,sumfhgd,instrp,instrd,instrpg,instrdg,instrpf,instrdf,instrpfg,instrdfg,instrphg,instrdhg,instrpfhg,instrdfhg,summ,sumgm,sumfm,sumfgm,sumhgm,sumfhgm,instrm,instrmg,instrmf,instrmfg,instrmhg,instrmfhg
1995,1,1,26884,49920,8320,.53854167,3.23125,7,5,3,,,,5,500,24,5,0,33280,.80781251,0,668,462,136.5,115.6,163.89999,0,474055,474055,251.64,4471425,4366071,1995-01,1,.026884001,.04992,420,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.1493931,.10581596,.80797082,.66653603,40333.902,.53854167,49920,77.466835,.21401274,40690048,95295392,42,26,10,6,17,6,1884,18824,1176,11000,548,5000,348,3000,926,8000,348,3000,1860,18324,1152,10500,524,4500,324,2500,902,7500,324,2500,.00182,.00091,0,0,0,0,.00182,.00091,0,0,0,0
1995,2,1,27222,50592,8432,.53806925,3.2284155,7,5,3,,,,5,500,24,5,0,33728,.80710387,0,806,505,136.5,115.6,163.89999,0,474055,475750.47,252.53999,4471425,4366071,1995-02,1,.027222,.050592002,421,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.18025574,.11566463,.80797082,.66595131,40876.863,.53806925,50592,77.743896,.21306299,40982444,95295392,42,26,10,6,17,6,1884,18824,1176,11000,548,5000,348,3000,926,8000,348,3000,1860,18324,1152,10500,524,4500,324,2500,902,7500,324,2500,.0059540002,.0029770001,0,0,0,0,.0059540002,.0029770001,0,0,0,0
1995,3,1,29588,55008,9168,.53788543,3.2273123,7,5,3,,,,5,500,24,5,0,36672,.80682808,0,724,459,136.5,115.6,163.89999,0,474055,477634.31,253.53999,4471425,4366071,1995-03,1,.029588001,.055008002,422,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.16191706,.10512885,.80797082,.6657238,44444.859,.53788543,55008,78.051743,.21215013,47958944,95295392,42,26,10,6,17,6,1884,18824,1176,11000,548,5000,348,3000,926,8000,348,3000,1860,18324,1152,10500,524,4500,324,2500,902,7500,324,2500,.0097970003,.00089800003,0,0,0,0,.0097970003,.00089800003,0,0,0,0
1995,4,1,27118,50784,8464,.5339871,3.2039225,7,5,3,,,,5,500,24,5,0,33856,.80098063,0,689,491,136.5,115.6,163.89999,0,480202,487014.59,255.21001,4471425,4366071,1995-04,1,.027117999,.050783999,423,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.15408958,.11245809,.80797082,.66089898,41031.988,.5339871,50784,79.584602,.20923439,44138264,95295392,42,26,10,6,17,6,1884,18824,1176,11000,548,5000,348,3000,926,8000,348,3000,1860,18324,1152,10500,524,4500,324,2500,902,7500,324,2500,.005384,.000764,0,0,0,0,.005384,.000764,0,0,0,0
1995,5,1,28002,52368,8728,.53471583,3.2082951,7,5,3,,,,5,500,24,5,0,34912,.80207378,0,691,426,136.5,115.6,163.89999,0,480202,487548.94,255.49001,4471425,4366071,1995-05,1,.028001999,.052368,424,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.15453686,.097570561,.80797082,.66180092,42311.816,.53471583,52368,79.671921,.20929031,46684912,95295392,42,26,10,6,17,6,1884,18824,1176,11000,548,5000,348,3000,926,8000,348,3000,1860,18324,1152,10500,524,4500,324,2500,902,7500,324,2500,.000818,.00078400003,0,0,0,0,.000818,.00078400003,0,0,0,0
1995,6,1,29042,54336,9056,.5344891,3.2069347,7,5,3,,,,5,500,24,5,0,36224,.80173367,0,567,407,136.5,115.6,163.89999,0,480202,487014.59,255.21001,4471425,4366071,1995-06,1,.029042,.054336,425,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.12680522,.093218826,.80797082,.6615203,43901.902,.5344891,54336,79.584602,.20943108,47130672,95295392,42,26,10,6,17,6,1884,18824,1176,11000,548,5000,348,3000,926,8000,348,3000,1860,18324,1152,10500,524,4500,324,2500,902,7500,324,2500,.00097399997,.00064899999,0,0,0,0,.00097399997,.00064899999,0,0,0,0
1995,7,1,25675,48024,8004,.53462851,3.2077711,7,5,3,,,,5,500,24,5,0,32016,.80194277,0,512,402,136.5,115.6,163.89999,0,437983,443761.53,254.96001,4471425,4366071,1995-07,1,.025675001,.048023999,426,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.11450488,.092073627,.80797082,.66169286,38801.992,.53462851,48024,72.516487,.20969112,41067948,95295392,42,26,10,6,17,6,1884,18824,1176,11000,548,5000,348,3000,926,8000,348,3000,1860,18324,1152,10500,524,4500,324,2500,902,7500,324,2500,.0052299998,.0029549999,0,0,0,0,.0052299998,.0029549999,0,0,0,0
1995,8,1,28041,52536,8756,.53374827,3.2024896,7,5,3,,,,5,500,24,5,0,35024,.8006224,0,539,414,136.5,115.6,163.89999,0,437983,443204.53,254.64,4471425,4366071,1995-08,1,.028041,.052536,427,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.12054323,.094822094,.80797082,.6606034,42447.555,.53374827,52536,72.425461,.20960897,45863692,95295392,42,26,10,6,17,6,1884,18824,1176,11000,548,5000,348,3000,926,8000,348,3000,1860,18324,1152,10500,524,4500,324,2500,902,7500,324,2500,.00091200002,.00091200002,0,0,0,0,.00091200002,.00091200002,0,0,0,0
1995,9,1,31993,59856,9976,.53449947,3.2069967,7,5,3,,,,5,500,24,5,0,39904,.80174917,0,650,439,136.5,115.6,163.89999,0,437983,446163.41,256.34,4471425,4366071,1995-09,1,.031993002,.059856001,428,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.14536753,.10054807,.80797082,.66153312,48361.902,.53449947,59856,72.908981,.20851193,48747228,95295392,42,26,10,6,17,6,1884,18824,1176,11000,548,5000,348,3000,926,8000,348,3000,1860,18324,1152,10500,524,4500,324,2500,902,7500,324,2500,.0042320001,.001579,0,0,0,0,.0042320001,.001579,0,0,0,0
1995,10,1,29198,54960,9160,.53125912,3.1875546,7,5,3,,,,5,500,24,5,0,36640,.79688865,0,642,392,136.5,115.6,163.89999,0,517011,527838.56,256.91,4471425,4366071,1995-10,1,.029198,.054960001,429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.1435784,.089783236,.80797082,.65752268,44406.074,.53125912,54960,86.255783,.20678802,47291088,95295392,43,27,10,6,17,6,1914,19224,1206,11400,548,5000,348,3000,926,8000,348,3000,1890,18724,1182,10900,524,4500,324,2500,902,7500,324,2500,.0032239999,.00056800002,0,0,0,0,.0032239999,.00056800002,0,0,0,0
